Rank,Year,Film,Worldwide,Domestic,International
1,2009,Avatar,"$2,845,979,541","$760,507,625","$2,085,471,916"
2,2019,Avengers: Endgame,"$2,797,800,564","$858,373,000","$1,939,427,564"
3,1997,Titanic,"$2,207,986,545","$659,363,944","$1,548,622,601"
4,2015,Star Wars Ep. VII: The Force Awakens,"$2,065,478,084","$936,662,225","$1,128,815,859"
5,2018,Avengers: Infinity War,"$2,044,540,523","$678,815,482","$1,365,725,041"
6,2015,Jurassic World,"$1,669,979,967","$652,306,625","$1,017,673,342"
7,2019,The Lion King,"$1,654,381,934","$543,638,043","$1,110,743,891"
8,2015,Furious 7,"$1,517,179,709","$353,007,020","$1,164,172,689"
9,2012,The Avengers,"$1,515,100,211","$623,357,910","$891,742,301"
10,2019,Frozen II,"$1,447,244,586","$477,373,578","$969,871,008"
11,2015,Avengers: Age of Ultron,"$1,395,316,979","$459,005,868","$936,311,111"
12,2018,Black Panther,"$1,336,494,321","$700,059,566","$636,434,755"
13,2011,Harry Potter and the Deathly Hallows:…,"$1,334,392,544","$381,193,157","$953,199,387"
14,2017,Star Wars Ep. VIII: The Last Jedi,"$1,332,539,889","$620,181,382","$712,358,507"
15,2018,Jurassic World: Fallen Kingdom,"$1,308,334,005","$417,719,760","$890,614,245"
16,2013,Frozen,"$1,267,646,247","$400,953,009","$866,693,238"
17,2017,Beauty and the Beast,"$1,255,080,655","$504,014,165","$751,066,490"
18,2018,Incredibles 2,"$1,242,805,359","$608,581,744","$634,223,615"
19,2017,The Fate of the Furious,"$1,236,703,796","$225,764,765","$1,010,939,031"
20,2013,Iron Man 3,"$1,215,392,272","$408,992,272","$806,400,000"
21,2015,Minions,"$1,159,631,140","$336,045,770","$823,585,370"
22,2016,Captain America: Civil War,"$1,151,918,521","$408,084,349","$743,834,172"
23,2018,Aquaman,"$1,143,758,700","$335,061,807","$808,696,893"
24,2019,Spider-Man: Far From Home,"$1,131,219,645","$390,532,085","$740,687,560"
25,2019,Captain Marvel,"$1,129,727,388","$426,829,839","$702,897,549"
26,2011,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543","$771,403,536"
27,2003,The Lord of the Rings: The Return of …,"$1,120,224,046","$377,845,905","$742,378,141"
28,2012,Skyfall,"$1,110,526,981","$304,360,277","$806,166,704"
29,2014,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076","$858,614,996"
30,2012,The Dark Knight Rises,"$1,082,228,107","$448,139,099","$634,089,008"
31,2019,Toy Story 4,"$1,073,080,329","$434,038,008","$639,042,321"
32,2019,Star Wars: The Rise of Skywalker,"$1,072,944,222","$515,202,542","$557,741,680"
33,2019,Joker,"$1,072,507,517","$335,451,311","$737,056,206"
34,2010,Toy Story 3,"$1,068,879,522","$415,004,880","$653,874,642"
35,2006,Pirates of the Caribbean: Dead Manâs …,"$1,066,179,725","$423,315,812","$642,863,913"
36,2016,Rogue One: A Star Wars Story,"$1,055,135,598","$532,177,324","$522,958,274"
37,2019,Aladdin,"$1,046,759,512","$355,559,216","$691,200,296"
38,2011,Pirates of the Caribbean: On Stranger…,"$1,045,713,802","$241,071,802","$804,642,000"
39,1993,Jurassic Park,"$1,045,573,035","$402,523,348","$643,049,687"
40,2017,Despicable Me 3,"$1,032,596,894","$264,624,300","$767,972,594"
41,1999,Star Wars Ep. I: The Phantom Menace,"$1,027,044,677","$474,544,677","$552,500,000"
42,2010,Alice in Wonderland,"$1,025,491,110","$334,191,110","$691,300,000"
43,2016,Finding Dory,"$1,025,006,125","$486,295,561","$538,710,564"
44,2012,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568","$714,000,000"
45,2016,Zootopia,"$1,005,954,958","$341,268,248","$664,686,710"
46,2008,The Dark Knight,"$999,046,281","$533,720,947","$465,325,334"
47,1994,The Lion King,"$986,214,868","$421,785,283","$564,429,585"
48,2013,Despicable Me 2,"$975,216,835","$368,065,385","$607,151,450"
49,2001,Harry Potter and the Sorcererâs Stone,"$965,054,122","$317,871,467","$647,182,655"
50,2017,Jumanji: Welcome to the Jungle,"$961,812,351","$404,508,916","$557,303,435"
51,2007,Pirates of the Caribbean: At Worldâs …,"$960,996,492","$309,420,425","$651,576,067"
52,2013,The Hobbit: The Desolation of Smaug,"$960,238,087","$258,241,522","$701,996,565"
53,2010,Harry Potter and the Deathly Hallows:…,"$955,371,891","$296,131,568","$659,240,323"
54,2016,The Jungle Book,"$953,554,418","$364,001,123","$589,553,295"
55,2014,The Hobbit: The Battle of the Five Ar…,"$943,328,905","$255,119,788","$688,209,117"
56,2007,Harry Potter and the Order of the Pho…,"$940,743,940","$292,137,260","$648,606,680"
57,2003,Finding Nemo,"$936,094,852","$380,529,370","$555,565,482"
58,2004,Shrek 2,"$935,253,978","$441,226,247","$494,027,731"
59,2009,Harry Potter and the Half-Blood Prince,"$930,673,167","$302,089,278","$628,583,889"
60,2002,The Lord of the Rings: The Two Towers,"$919,148,764","$342,548,984","$576,599,780"
61,2007,Spider-Man 3,"$894,860,230","$336,530,303","$558,329,927"
62,2018,Bohemian Rhapsody,"$893,423,212","$216,303,339","$677,119,873"
63,2005,Harry Potter and the Goblet of Fire,"$891,320,084","$290,201,752","$601,118,332"
64,2001,The Lord of the Rings: The Fellowship…,"$891,276,824","$315,544,750","$575,732,074"
65,2009,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705","$690,113,112"
66,2016,The Secret Life of Pets,"$885,302,500","$368,384,330","$516,918,170"
67,2017,Spider-Man: Homecoming,"$880,166,350","$334,201,140","$545,965,210"
68,2012,Ice Age: Continental Drift,"$879,765,137","$161,321,843","$718,443,294"
69,2015,Spectre,"$879,500,760","$200,074,175","$679,426,585"
70,2002,Harry Potter and the Chamber of Secrets,"$876,508,805","$262,233,381","$614,275,424"
71,2016,Batman v Superman: Dawn of Justice,"$872,395,091","$330,360,194","$542,034,897"
72,2017,Guardians of the Galaxy Vol 2,"$869,113,101","$389,813,101","$479,300,000"
73,2013,The Hunger Games: Catching Fire,"$864,868,047","$424,668,047","$440,200,000"
74,2015,Inside Out,"$855,038,387","$356,461,711","$498,576,676"
75,2018,Venom,"$853,530,899","$213,511,408","$640,019,491"
76,2017,Thor: Ragnarok,"$850,482,778","$315,058,289","$535,424,489"
77,2005,Star Wars Ep. III: Revenge of the Sith,"$848,998,877","$380,270,577","$468,728,300"
78,2009,Transformers: Revenge of the Fallen,"$836,519,699","$402,111,870","$434,407,829"
79,2017,Zhan Lang 2,"$835,474,171","$2,721,100","$832,753,071"
80,2021,"Ni Hao, Li Huan Ying","$835,066,803",,"$835,066,803"
81,2012,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737","$292,324,737","$537,400,000"
82,2002,Spider-Man,"$821,706,375","$403,706,375","$418,000,000"
83,2017,Wonder Woman,"$818,058,221","$412,563,408","$405,494,813"
84,1996,Independence Day,"$817,400,878","$306,169,255","$511,231,623"
85,2016,Fantastic Beasts and Where to Find Them,"$811,724,385","$234,037,575","$577,686,810"
86,2007,Shrek the Third,"$807,330,936","$322,719,944","$484,610,992"
87,2019,Jumanji: The Next Level,"$800,128,637","$316,831,246","$483,297,391"
88,2017,Coco,"$798,237,597","$210,460,015","$587,777,582"
89,2017,Pirates of the Caribbean: Dead Men Te…,"$794,861,794","$172,558,876","$622,302,918"
90,2004,Spider-Man 2,"$794,697,557","$373,524,485","$421,173,072"
91,1982,E.T. the Extra-Terrestrial,"$792,962,972","$435,110,554","$357,852,418"
92,2004,Harry Potter and the Prisoner of Azkaban,"$789,961,033","$249,757,726","$540,203,307"
93,2013,Fast and Furious 6,"$789,300,444","$238,679,850","$550,620,594"
94,2018,Mission: ImpossibleâFallout,"$787,176,729","$220,159,104","$567,017,625"
95,2008,Indiana Jones and the Kingdom of the …,"$786,635,413","$317,101,119","$469,534,294"
96,2018,Deadpool 2,"$786,455,570","$324,591,735","$461,863,835"
97,2016,Deadpool,"$784,157,111","$363,070,709","$421,086,402"
98,1977,Star Wars Ep. IV: A New Hope,"$775,398,007","$460,998,007","$314,400,000"
99,2014,Guardians of the Galaxy,"$770,882,395","$333,714,112","$437,168,283"
100,2006,The Da Vinci Code,"$767,820,459","$217,536,138","$550,284,321"
